2022-03-07 17:21:39,548 - movie - INFO -가상 브라우저 실행...
2022-03-07 17:21:39,875 - movie - INFO -네이버 영화 랭킹 1 페이지 이동...
2022-03-07 17:21:39,894 - movie - INFO -1. 클라우스영화 제목 클릭... :
2022-03-07 17:21:40,847 - movie - INFO -영화 평점 클릭...
2022-03-07 17:21:40,866 - movie - INFO -영화 제목 수집 : 클라우스
2022-03-07 17:21:40,884 - movie - INFO -iframe 전환
2022-03-07 17:21:45,080 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:45,115 - movie - INFO -91,클라우스
2022-03-07 17:21:45,146 - movie - INFO -92,클라우스
2022-03-07 17:21:45,181 - movie - INFO -93,클라우스
2022-03-07 17:21:45,215 - movie - INFO -94,클라우스
2022-03-07 17:21:45,246 - movie - INFO -95,클라우스
2022-03-07 17:21:45,279 - movie - INFO -96,클라우스
2022-03-07 17:21:45,311 - movie - INFO -97,클라우스
2022-03-07 17:21:45,343 - movie - INFO -98,클라우스
2022-03-07 17:21:45,375 - movie - INFO -99,클라우스
2022-03-07 17:21:45,409 - movie - INFO -100,클라우스
2022-03-07 17:21:45,561 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:45,594 - movie - INFO -101,클라우스
2022-03-07 17:21:45,625 - movie - INFO -102,클라우스
2022-03-07 17:21:45,657 - movie - INFO -103,클라우스
2022-03-07 17:21:45,689 - movie - INFO -104,클라우스
2022-03-07 17:21:45,722 - movie - INFO -105,클라우스
2022-03-07 17:21:45,753 - movie - INFO -106,클라우스
2022-03-07 17:21:45,784 - movie - INFO -107,클라우스
2022-03-07 17:21:45,813 - movie - INFO -108,클라우스
2022-03-07 17:21:45,844 - movie - INFO -109,클라우스
2022-03-07 17:21:45,874 - movie - INFO -110,클라우스
2022-03-07 17:21:46,011 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:46,067 - movie - INFO -111,클라우스
2022-03-07 17:21:46,098 - movie - INFO -112,클라우스
2022-03-07 17:21:46,129 - movie - INFO -113,클라우스
2022-03-07 17:21:46,159 - movie - INFO -114,클라우스
2022-03-07 17:21:46,189 - movie - INFO -115,클라우스
2022-03-07 17:21:46,219 - movie - INFO -116,클라우스
2022-03-07 17:21:46,249 - movie - INFO -117,클라우스
2022-03-07 17:21:46,279 - movie - INFO -118,클라우스
2022-03-07 17:21:46,308 - movie - INFO -119,클라우스
2022-03-07 17:21:46,338 - movie - INFO -120,클라우스
2022-03-07 17:21:46,476 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:46,526 - movie - INFO -121,클라우스
2022-03-07 17:21:46,555 - movie - INFO -122,클라우스
2022-03-07 17:21:46,585 - movie - INFO -123,클라우스
2022-03-07 17:21:46,613 - movie - INFO -124,클라우스
2022-03-07 17:21:46,643 - movie - INFO -125,클라우스
2022-03-07 17:21:46,672 - movie - INFO -126,클라우스
2022-03-07 17:21:46,702 - movie - INFO -127,클라우스
2022-03-07 17:21:46,733 - movie - INFO -128,클라우스
2022-03-07 17:21:46,763 - movie - INFO -129,클라우스
2022-03-07 17:21:46,792 - movie - INFO -130,클라우스
2022-03-07 17:21:46,935 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:46,975 - movie - INFO -131,클라우스
2022-03-07 17:21:47,005 - movie - INFO -132,클라우스
2022-03-07 17:21:47,034 - movie - INFO -133,클라우스
2022-03-07 17:21:47,064 - movie - INFO -134,클라우스
2022-03-07 17:21:47,094 - movie - INFO -135,클라우스
2022-03-07 17:21:47,123 - movie - INFO -136,클라우스
2022-03-07 17:21:47,154 - movie - INFO -137,클라우스
2022-03-07 17:21:47,183 - movie - INFO -138,클라우스
2022-03-07 17:21:47,213 - movie - INFO -139,클라우스
2022-03-07 17:21:47,242 - movie - INFO -140,클라우스
2022-03-07 17:21:47,381 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:47,427 - movie - INFO -141,클라우스
2022-03-07 17:21:47,456 - movie - INFO -142,클라우스
2022-03-07 17:21:47,485 - movie - INFO -143,클라우스
2022-03-07 17:21:47,515 - movie - INFO -144,클라우스
2022-03-07 17:21:47,544 - movie - INFO -145,클라우스
2022-03-07 17:21:47,575 - movie - INFO -146,클라우스
2022-03-07 17:21:47,606 - movie - INFO -147,클라우스
2022-03-07 17:21:47,636 - movie - INFO -148,클라우스
2022-03-07 17:21:47,667 - movie - INFO -149,클라우스
2022-03-07 17:21:47,696 - movie - INFO -150,클라우스
2022-03-07 17:21:47,834 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:47,891 - movie - INFO -151,클라우스
2022-03-07 17:21:47,920 - movie - INFO -152,클라우스
2022-03-07 17:21:47,950 - movie - INFO -153,클라우스
2022-03-07 17:21:47,978 - movie - INFO -154,클라우스
2022-03-07 17:21:48,007 - movie - INFO -155,클라우스
2022-03-07 17:21:48,037 - movie - INFO -156,클라우스
2022-03-07 17:21:48,065 - movie - INFO -157,클라우스
2022-03-07 17:21:48,093 - movie - INFO -158,클라우스
2022-03-07 17:21:48,122 - movie - INFO -159,클라우스
2022-03-07 17:21:48,153 - movie - INFO -160,클라우스
2022-03-07 17:21:48,293 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:48,333 - movie - INFO -161,클라우스
2022-03-07 17:21:48,362 - movie - INFO -162,클라우스
2022-03-07 17:21:48,391 - movie - INFO -163,클라우스
2022-03-07 17:21:48,420 - movie - INFO -164,클라우스
2022-03-07 17:21:48,450 - movie - INFO -165,클라우스
2022-03-07 17:21:48,479 - movie - INFO -166,클라우스
2022-03-07 17:21:48,508 - movie - INFO -167,클라우스
2022-03-07 17:21:48,536 - movie - INFO -168,클라우스
2022-03-07 17:21:48,566 - movie - INFO -169,클라우스
2022-03-07 17:21:48,594 - movie - INFO -170,클라우스
2022-03-07 17:21:48,732 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:48,773 - movie - INFO -171,클라우스
2022-03-07 17:21:48,802 - movie - INFO -172,클라우스
2022-03-07 17:21:48,831 - movie - INFO -173,클라우스
2022-03-07 17:21:48,861 - movie - INFO -174,클라우스
2022-03-07 17:21:48,891 - movie - INFO -175,클라우스
2022-03-07 17:21:48,920 - movie - INFO -176,클라우스
2022-03-07 17:21:48,950 - movie - INFO -177,클라우스
2022-03-07 17:21:48,979 - movie - INFO -178,클라우스
2022-03-07 17:21:49,009 - movie - INFO -179,클라우스
2022-03-07 17:21:49,038 - movie - INFO -180,클라우스
2022-03-07 17:21:49,172 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:49,212 - movie - INFO -181,클라우스
2022-03-07 17:21:49,241 - movie - INFO -182,클라우스
2022-03-07 17:21:49,271 - movie - INFO -183,클라우스
2022-03-07 17:21:49,301 - movie - INFO -184,클라우스
2022-03-07 17:21:49,330 - movie - INFO -185,클라우스
2022-03-07 17:21:49,361 - movie - INFO -186,클라우스
2022-03-07 17:21:49,390 - movie - INFO -187,클라우스
2022-03-07 17:21:49,419 - movie - INFO -188,클라우스
2022-03-07 17:21:49,448 - movie - INFO -189,클라우스
2022-03-07 17:21:49,478 - movie - INFO -190,클라우스
2022-03-07 17:21:49,615 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:49,656 - movie - INFO -191,클라우스
2022-03-07 17:21:49,687 - movie - INFO -192,클라우스
2022-03-07 17:21:49,717 - movie - INFO -193,클라우스
2022-03-07 17:21:49,747 - movie - INFO -194,클라우스
2022-03-07 17:21:49,777 - movie - INFO -195,클라우스
2022-03-07 17:21:49,809 - movie - INFO -196,클라우스
2022-03-07 17:21:49,840 - movie - INFO -197,클라우스
2022-03-07 17:21:49,870 - movie - INFO -198,클라우스
2022-03-07 17:21:49,900 - movie - INFO -199,클라우스
2022-03-07 17:21:49,930 - movie - INFO -200,클라우스
2022-03-07 17:21:50,068 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:50,136 - movie - INFO -201,클라우스
2022-03-07 17:21:50,166 - movie - INFO -202,클라우스
2022-03-07 17:21:50,196 - movie - INFO -203,클라우스
2022-03-07 17:21:50,226 - movie - INFO -204,클라우스
2022-03-07 17:21:50,255 - movie - INFO -205,클라우스
2022-03-07 17:21:50,283 - movie - INFO -206,클라우스
2022-03-07 17:21:50,313 - movie - INFO -207,클라우스
2022-03-07 17:21:50,343 - movie - INFO -208,클라우스
2022-03-07 17:21:50,373 - movie - INFO -209,클라우스
2022-03-07 17:21:50,403 - movie - INFO -210,클라우스
2022-03-07 17:21:50,537 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:50,580 - movie - INFO -211,클라우스
2022-03-07 17:21:50,610 - movie - INFO -212,클라우스
2022-03-07 17:21:50,641 - movie - INFO -213,클라우스
2022-03-07 17:21:50,670 - movie - INFO -214,클라우스
2022-03-07 17:21:50,699 - movie - INFO -215,클라우스
2022-03-07 17:21:50,729 - movie - INFO -216,클라우스
2022-03-07 17:21:50,759 - movie - INFO -217,클라우스
2022-03-07 17:21:50,788 - movie - INFO -218,클라우스
2022-03-07 17:21:50,817 - movie - INFO -219,클라우스
2022-03-07 17:21:50,847 - movie - INFO -220,클라우스
2022-03-07 17:21:50,988 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:51,031 - movie - INFO -221,클라우스
2022-03-07 17:21:51,059 - movie - INFO -222,클라우스
2022-03-07 17:21:51,090 - movie - INFO -223,클라우스
2022-03-07 17:21:51,119 - movie - INFO -224,클라우스
2022-03-07 17:21:51,150 - movie - INFO -225,클라우스
2022-03-07 17:21:51,179 - movie - INFO -226,클라우스
2022-03-07 17:21:51,209 - movie - INFO -227,클라우스
2022-03-07 17:21:51,240 - movie - INFO -228,클라우스
2022-03-07 17:21:51,270 - movie - INFO -229,클라우스
2022-03-07 17:21:51,299 - movie - INFO -230,클라우스
2022-03-07 17:21:51,437 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:51,479 - movie - INFO -231,클라우스
2022-03-07 17:21:51,508 - movie - INFO -232,클라우스
2022-03-07 17:21:51,537 - movie - INFO -233,클라우스
2022-03-07 17:21:51,568 - movie - INFO -234,클라우스
2022-03-07 17:21:51,596 - movie - INFO -235,클라우스
2022-03-07 17:21:51,627 - movie - INFO -236,클라우스
2022-03-07 17:21:51,658 - movie - INFO -237,클라우스
2022-03-07 17:21:51,686 - movie - INFO -238,클라우스
2022-03-07 17:21:51,717 - movie - INFO -239,클라우스
2022-03-07 17:21:51,747 - movie - INFO -240,클라우스
2022-03-07 17:21:51,887 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:51,928 - movie - INFO -241,클라우스
2022-03-07 17:21:51,957 - movie - INFO -242,클라우스
2022-03-07 17:21:51,987 - movie - INFO -243,클라우스
2022-03-07 17:21:52,015 - movie - INFO -244,클라우스
2022-03-07 17:21:52,045 - movie - INFO -245,클라우스
2022-03-07 17:21:52,075 - movie - INFO -246,클라우스
2022-03-07 17:21:52,105 - movie - INFO -247,클라우스
2022-03-07 17:21:52,133 - movie - INFO -248,클라우스
2022-03-07 17:21:52,162 - movie - INFO -249,클라우스
2022-03-07 17:21:52,191 - movie - INFO -250,클라우스
2022-03-07 17:21:52,318 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:52,352 - movie - INFO -251,클라우스
2022-03-07 17:21:52,382 - movie - INFO -252,클라우스
2022-03-07 17:21:52,421 - movie - INFO -253,클라우스
2022-03-07 17:21:52,484 - movie - INFO -254,클라우스
2022-03-07 17:21:52,515 - movie - INFO -255,클라우스
